,Food product,Land use change,Animal Feed,Farm,Processing,Transport,Packging,Retail,Total_emissions,Eutrophying emissions per 1000kcal (gPO₄eq per 1000kcal),Eutrophying emissions per kilogram (gPO₄eq per kilogram),Eutrophying emissions per 100g protein (gPO₄eq per 100 grams protein),Freshwater withdrawals per 1000kcal (liters per 1000kcal),Freshwater withdrawals per 100g protein (liters per 100g protein),Freshwater withdrawals per kilogram (liters per kilogram),Greenhouse gas emissions per 1000kcal (kgCO₂eq per 1000kcal),Greenhouse gas emissions per 100g protein (kgCO₂eq per 100g protein),Land use per 1000kcal (m² per 1000kcal),Land use per kilogram (m² per kilogram),Land use per 100g protein (m² per 100g protein),Scarcity-weighted water use per kilogram (liters per kilogram),Scarcity-weighted water use per 100g protein (liters per 100g protein),Scarcity-weighted water use per 1000kcal (liters per 1000 kilocalories),Total_Supply_Chain_Emissions,Water_Use_Efficiency,GHG_Intensity_Index
0,Wheat & Rye (Bread),0.1,0.0,0.8,0.2,0.1,0.1,0.1,1.4000000000000004,27.18154678930303,46.14131578947368,52.77195314511112,504.18897717399994,1437.975323523077,932.6052631578947,5.633942969181819,13.524905881074075,12.423165360575759,29.264473684210525,29.10504164062963,36607.42894736842,59196.438502923076,17380.575408477467,1.4000000000000004,0.05765206742178003,0.7931774720607073
1,Maize (Meal),0.3,0.0,0.5,0.1,0.1,0.1,0.0,1.1,27.18154678930303,46.14131578947368,52.77195314511112,504.18897717399994,1437.975323523077,932.6052631578947,5.633942969181819,13.524905881074075,12.423165360575759,29.264473684210525,29.10504164062963,36607.42894736842,59196.438502923076,17380.575408477467,1.1,0.05765206742178003,0.7931774720607073
2,Barley (Beer),0.0,0.0,0.2,0.1,0.0,0.5,0.3,1.1,27.18154678930303,46.14131578947368,52.77195314511112,504.18897717399994,1437.975323523077,932.6052631578947,5.633942969181819,13.524905881074075,12.423165360575759,29.264473684210525,29.10504164062963,36607.42894736842,59196.438502923076,17380.575408477467,1.1,0.05765206742178003,0.7931774720607073
3,Oatmeal,0.0,0.0,1.4,0.0,0.1,0.1,0.0,1.6,4.281357225,11.23,8.638461538,183.9115517,371.0769231,482.4,0.945482272,1.907692308,2.897445673,7.6,5.846153846,18786.2,14450.92308,7162.104461,1.6,0.0033167495854063023,0.32631578939012607
5,Potatoes,0.0,0.0,0.2,0.0,0.1,0.0,0.0,0.3,4.7540983610000005,3.48,20.47058824,80.73770492,347.6470588,59.1,0.628415301,2.705882353,1.202185792,0.88,5.176470588,2754.2,16201.17647,3762.568306,0.30000000000000004,0.005076142131979695,0.5227272732566115
6,Cassava,0.6,0.0,0.2,0.0,0.1,0.0,0.0,0.9,0.708418891,0.69,7.666666667,504.18897717399994,1437.975323523077,0.0,1.35523614,14.66666667,1.858316222,1.81,20.11111111,0.0,59196.438502923076,17380.575408477467,0.9,0.05765206742178003,0.7292817680628307
9,Other Pulses,0.0,0.0,1.1,0.0,0.1,0.4,0.0,1.6,5.008797653999999,17.08,7.97758057,504.18897717399994,203.503036,435.7,0.524926686,0.836057917,4.565982405,15.57,7.272302662,22477.4,10498.55208,17380.575408477467,1.6,0.0036722515492311225,0.11496467560303708
10,Peas,0.0,0.0,0.7,0.0,0.1,0.0,0.0,0.7999999999999999,2.173410405,7.52,3.384338434,504.18897717399994,178.48784880000002,396.6,0.2832369939999999,0.441044104,2.156069364,7.46,3.357335734,27948.2,12577.94779,17380.575408477467,0.7999999999999999,0.0020171457387796266,0.1313672921331857
12,Groundnuts,0.4,0.0,1.4,0.4,0.1,0.1,0.0,2.4,2.437931034,14.14,5.401069519,319.362069,707.5248281,1852.3,0.556896552,1.233766234,1.570689655,9.11,3.479755539,61797.9,23605.00382,10654.81034,2.4,0.0012956864438805808,0.35455543380401267
13,Soymilk,0.2,0.0,0.1,0.2,0.1,0.1,0.3,1.0,27.18154678930303,1.06,52.77195314511112,504.18897717399994,1437.975323523077,27.8,5.633942969181819,13.524905881074075,12.423165360575759,0.66,29.10504164062963,955.6,59196.438502923076,17380.575408477467,1.0,0.03597122302158273,0.7931774720607073
21,Onions & Leeks,0.0,0.0,0.2,0.0,0.1,0.0,0.0,0.3,8.756756757,3.24,24.92307692,38.64864865,110.0,14.3,1.351351351,3.846153846,1.054054054,0.39,3.0,932.0,7169.230769,2518.918919,0.30000000000000004,0.020979020979020976,1.2820512817836949
22,Root Vegetables,0.0,0.0,0.2,0.0,0.1,0.0,0.0,0.3,4.351351351,1.61,16.1,76.75675676,284.0,28.4,1.162162162,4.3,0.8918918920000001,0.33,3.3,929.2,9292.0,2511.351351,0.30000000000000004,0.01056338028169014,1.3030303026905417
24,Other Vegetables,0.0,0.0,0.2,0.1,0.2,0.0,0.0,0.5,27.18154678930303,2.27,52.77195314511112,504.18897717399994,1437.975323523077,102.5,5.633942969181819,13.524905881074075,12.423165360575759,0.38,29.10504164062963,4911.4,59196.438502923076,17380.575408477467,0.5,0.004878048780487805,0.7931774720607073
25,Citrus Fruit,-0.1,0.0,0.3,0.0,0.1,0.0,0.0,0.3,7.0,2.24,37.33333333,258.4375,1378.333333,82.7,1.21875,6.5,2.6875,0.86,14.33333333,4662.7,77711.66667,14570.9375,0.3,0.003627569528415961,0.45348837209302323
26,Bananas,0.0,0.0,0.3,0.1,0.3,0.1,0.0,0.7999999999999999,5.483333332999999,3.29,36.55555556,190.8333333,1272.222222,114.5,1.4333333330000002,9.555555556,3.216666667,1.93,21.44444444,661.9,7354.444444,1103.166667,0.7999999999999999,0.006986899563318777,0.44559585477247715
30,Other Fruit,0.1,0.0,0.4,0.0,0.2,0.0,0.0,0.7,27.18154678930303,2.43,52.77195314511112,504.18897717399994,1437.975323523077,153.5,5.633942969181819,13.524905881074075,12.423165360575759,0.89,29.10504164062963,9533.1,59196.438502923076,17380.575408477467,0.7,0.004560260586319218,0.7931774720607073
